County,2018 Median Income,2019 Median Income,2020 Median Income,2021 Median Income
Alachua County,"49,078","49,689","50,089","53,314"
Baker County,"61,769","63,275","62,299","63,860"
Bay County,"51,829","54,316","56,483","60,473"
Bradford County,"46,197","45,921","43,580","48,803"
Brevard County,"54,359","56,775","59,359","63,632"
Broward County,"57,333","59,547","60,922","64,522"
Calhoun County,"38,609","38,568","38,037","38,098"
Charlotte County,"49,225","51,499","52,724","57,887"
Citrus County,"41,424","44,237","45,689","48,664"
Clay County,"62,653","65,740","68,657","74,059"
Collier County,"65,675","69,653","70,217","75,543"
Columbia County,"44,491","46,494","44,818","47,750"
DeSoto County,"35,057","35,438","36,360","39,945"
Dixie County,"38,237","39,828","41,674","44,287"
Duval County,"53,473","55,807","56,769","59,541"
Escambia County,"49,286","50,915","53,023","56,605"
Flagler County,"53,872","54,514","57,536","62,305"
Franklin County,"42,855","46,643","48,814","52,679"
Gadsden County,"40,922","41,401","41,135","42,661"
Gilchrist County,"42,357","43,640","47,381","50,983"
Glades County,"39,879","40,977","39,709","38,088"
Gulf County,"44,291","47,712","50,640","53,812"
Hamilton County,"34,583","38,569","38,300","39,346"
Hardee County,"37,594","38,682","40,165","41,395"
Hendry County,"40,728","40,820","36,978","38,843"
Hernando County,"46,030","48,812","50,280","53,301"
Highlands County,"37,314","40,942","43,708","46,895"
Hillsborough County,"56,137","58,884","60,566","64,164"
Holmes County,"38,608","39,102","39,215","41,809"
Indian River County,"52,336","54,740","57,945","61,594"
Jackson County,"39,002","39,872","40,754","43,416"
Jefferson County,"48,173","47,240","49,081","53,080"
Lafayette County,"39,543","50,165","51,734","56,458"
Lake County,"51,884","54,513","55,792","60,013"
Lee County,"54,691","57,832","59,608","63,235"
Leon County,"51,201","53,106","54,675","57,359"
Levy County,"37,634","37,326","38,951","43,029"
Liberty County,"37,363","38,015","39,121","42,438"
Madison County,"35,509","37,037","35,240","39,503"
Manatee County,"56,036","59,009","59,963","64,964"
Marion County,"43,361","45,371","46,587","50,808"
Martin County,"57,959","61,133","65,821","69,769"
Miami-Dade County,"48,982","51,347","53,975","57,815"
Monroe County,"67,023","70,033","72,012","73,153"
Nassau County,"66,297","69,943","72,998","77,504"
Okaloosa County,"62,048","63,412","64,373","67,390"
Okeechobee County,"40,367","41,760","46,097","47,020"
Orange County,"54,335","58,254","61,416","65,784"
Osceola County,"50,063","52,279","55,538","58,513"
Palm Beach County,"59,943","63,299","65,015","68,874"
Pasco County,"50,417","52,828","53,431","58,084"
Pinellas County,"51,454","54,090","56,419","60,451"
Polk County,"48,500","50,584","51,535","55,099"
Putnam County,"35,649","37,670","40,068","39,975"
St. Johns County,"77,323","82,252","83,803","88,794"
St. Lucie County,"49,373","52,322","55,237","59,807"
Santa Rosa County,"66,242","67,949","70,663","77,260"
Sarasota County,"58,644","62,236","64,644","69,490"
Seminole County,"63,760","66,768","70,297","73,002"
Sumter County,"55,228","57,226","59,618","63,323"
Suwannee County,"42,686","47,839","46,280","47,218"
Taylor County,"36,934","40,306","38,295","43,563"
Union County,"41,770","44,270","55,139","55,463"
Volusia County,"46,760","49,494","52,407","56,786"
Wakulla County,"62,778","61,410","67,480","72,941"
Walton County,"53,785","58,093","67,390","68,111"
Washington County,"37,188","37,022","37,260","41,806"
