year,county,ev_station_count,cumulative_ev_stations
2010,Dallas County,1,1
2011,Bexar County,5,5
2011,Dallas County,3,4
2011,Harris County,8,8
2011,Tarrant County,4,4
2011,Travis County,6,6
2012,Harris County,3,11
2012,Tarrant County,1,5
2013,Dallas County,3,7
2013,Harris County,2,13
2013,Tarrant County,1,6
2014,Bexar County,3,8
2014,Dallas County,8,15
2014,Harris County,8,21
2014,Travis County,9,15
2015,Bexar County,4,12
2015,Dallas County,13,28
2015,Harris County,10,31
2015,Tarrant County,3,9
2015,Travis County,17,32
2016,Bexar County,1,13
2016,Dallas County,11,39
2016,Harris County,23,54
2016,Tarrant County,4,13
2016,Travis County,10,42
2017,Bexar County,5,18
2017,Dallas County,9,48
2017,Harris County,18,72
2017,Tarrant County,3,16
2017,Travis County,10,52
2018,Bexar County,6,24
2018,Dallas County,28,76
2018,Harris County,36,108
2018,Tarrant County,21,37
2018,Travis County,33,85
2019,Bexar County,12,36
2019,Dallas County,26,102
2019,Harris County,19,127
2019,Tarrant County,11,48
2019,Travis County,28,113
2020,Bexar County,27,63
2020,Dallas County,56,158
2020,Harris County,49,176
2020,Tarrant County,23,71
2020,Travis County,76,189
2021,Bexar County,52,115
2021,Dallas County,80,238
2021,Harris County,116,292
2021,Tarrant County,59,130
2021,Travis County,203,392
2022,Bexar County,32,147
2022,Dallas County,71,309
2022,Harris County,83,375
2022,Tarrant County,53,183
2022,Travis County,158,550
2023,Bexar County,51,198
2023,Dallas County,87,396
2023,Harris County,113,488
2023,Tarrant County,43,226
2023,Travis County,82,632
2024,Bexar County,37,235
2024,Dallas County,55,451
2024,Harris County,98,586
2024,Tarrant County,56,282
2024,Travis County,52,684
2011,Other Texas Counties,31,31
2012,Other Texas Counties,4,6
2013,Other Texas Counties,4,5
2014,Other Texas Counties,9,13
2015,Other Texas Counties,53,77
2016,Other Texas Counties,46,102
2017,Other Texas Counties,56,130
2018,Other Texas Counties,72,208
2019,Other Texas Counties,65,239
2020,Other Texas Counties,93,286
2021,Other Texas Counties,146,459
2022,Other Texas Counties,295,781
2023,Other Texas Counties,324,1085
2024,Other Texas Counties,337,1328
